Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
saving for education,75,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,22,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,30,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,17,Female,Low,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
saving for retirement,70,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,71,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,18,Male,Medium,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
starting a business,43,Female,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,49,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,41,Female,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,46,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,21,Male,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,73,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,73,Female,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,28,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,58,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,0,Female,High,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
buying a house,63,Male,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,16,Male,High,4,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
buying a house,36,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,24,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,63,Female,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,67,Female,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,51,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,8,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,56,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,32,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,19,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,72,Female,Low,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,71,Male,Low,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,13,Female,High,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for retirement,58,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,55,Male,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,64,Male,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,75,Male,Low,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,36,Male,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,25,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,32,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,42,Female,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,14,Female,High,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
saving for education,28,Male,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,20,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,68,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,22,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,7,Female,High,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
starting a business,72,Male,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,61,Female,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,13,Female,Low,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,5,Male,Medium,5,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,0,Male,Low,1,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,8,Male,High,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,79,Female,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,79,Female,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,53,Female,Low,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,11,Male,Low,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
buying a house,4,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
planning a vacation,39,Female,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,45,Female,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,26,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,74,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,52,Male,Medium,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,49,Male,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,51,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,18,Female,Medium,4,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
planning a vacation,34,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,51,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,30,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,53,Female,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,58,Female,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,43,Female,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,55,Female,High,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,18,Female,Low,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for retirement,45,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,65,Male,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,70,Male,Low,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,53,Male,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,48,Female,High,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,59,Male,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,80,Male,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,26,Female,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,35,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,58,Female,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,49,Female,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,73,Female,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,44,Female,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,13,Male,Low,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
purchasing for self,70,Female,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,38,Male,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,39,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,8,Male,Low,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
buying a house,13,Female,Medium,4,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,7,Male,Medium,4,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for retirement,80,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,22,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,79,Male,Low,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,8,Female,High,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
starting a business,6,Male,Low,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
purchasing for self,71,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,66,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,60,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,16,Female,High,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
buying a house,56,Female,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,23,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,24,Male,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,4,Male,High,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for retirement,49,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,30,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,54,Male,Medium,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,25,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,20,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,57,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,23,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,27,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,29,Female,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,33,Male,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,53,Female,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,51,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,7,Female,Low,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
planning a vacation,9,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for education,54,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,0,Female,High,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for retirement,36,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,20,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,3,Male,Low,1,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,42,Female,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,65,Female,High,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,20,Female,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,36,Female,Low,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,68,Male,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,80,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,47,Female,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,10,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for education,43,Male,Low,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,63,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,31,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,20,Female,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,70,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,9,Female,Low,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
starting a business,60,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,35,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,76,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,18,Male,Low,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
starting a business,74,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,43,Male,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,3,Female,High,1,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,12,Male,Medium,5,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,58,Female,Low,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,1,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
planning a vacation,0,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for education,39,Male,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,24,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,58,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
